WAVE,Nylon_raw,PET_raw,Styro_raw
432,-0.12056953507261083,-1.4049141861079315,-0.06420588206865177
433,-0.13701126432086794,-1.4760161883332965,-0.01705544645603995
434,-0.15630396906323227,-1.545488611195826,0.017473175145236632
435,-0.17666266971728573,-1.6074003088386632,0.021638825320841958
436,-0.20027635431939855,-1.6537829179058026,0.020745527933468455
437,-0.2283740420320449,-1.6757109181867982,0.01991722090199622
438,-0.2558219035422653,-1.6760318122591906,0.023030502314758474
439,-0.27798326970829734,-1.6577373229497918,0.03436581101069322
440,-0.2960811082699649,-1.6344378589296604,0.035943000122114585
441,-0.3091928269702211,-1.614970133217184,0.020083927591722294
442,-0.3156732714006086,-1.6044081757847855,-0.007390796015942698
443,-0.31434224727407856,-1.6071475848035606,-0.040789625043490804
444,-0.2980857642818197,-1.618831573051576,-0.061220236389665394
445,-0.2640870741763379,-1.6402601661720564,-0.05858594801379014
446,-0.22073666291725244,-1.6713736050473622,-0.03590994019534322
447,-0.1760544741382603,-1.7103470404821535,0.002951749781965075
448,-0.14341927009199026,-1.7490931628205224,0.0465783433210898
449,-0.13035797904462781,-1.782473860267561,0.0894844310510182
450,-0.13682246579312007,-1.8041247625867223,0.12974233404732577
451,-0.16073515249860987,-1.8118545425762,0.16438863416873448
452,-0.1957235553954351,-1.8135111484795676,0.19053643723484948
453,-0.23773987610877717,-1.8110201901426504,0.20345364350561687
454,-0.2818718494450074,-1.8066447838337578,0.19587807038050742
455,-0.3224047928339933,-1.800907600550414,0.16881940099206838
456,-0.35087892942038845,-1.7894981806417831,0.1295158401651843
457,-0.36177992181000973,-1.773806485973739,0.0864387830612455
458,-0.3504545334930458,-1.7568461143203713,0.052750109405401965
459,-0.32125096637835054,-1.7407826724511613,0.031235220083427627
460,-0.2896384949941179,-1.7290064509666316,0.019351654745471545
461,-0.25994269300258394,-1.7220905106650228,0.015660917562290964
462,-0.23630941771263686,-1.719811631465626,0.016763719345884154
463,-0.21550450436717403,-1.721137628305398,0.022947443273292227
464,-0.1844328589104541,-1.721079839799305,0.04372240582317532
465,-0.1473084759354406,-1.7213821013641846,0.07313206814968365
466,-0.10918167108139674,-1.7239722471351806,0.10482475230471712
467,-0.0731324200096228,-1.729638487011571,0.12921190275849787
468,-0.04307429909270478,-1.7431631468816993,0.12234559752472456
469,-0.019487606609432183,-1.7602466869197593,0.08997541537487093
470,-0.002334035021735717,-1.7766113693136227,0.036569218519811736
471,0.005094027608865279,-1.7918579755403923,-0.023013152473540875
472,-0.0032893084826928045,-1.8033218570397818,-0.06650396271877189
473,-0.02435161992762192,-1.8130022547510793,-0.09607174107061706
474,-0.055406196376001596,-1.8228982149222894,-0.11248111241019508
475,-0.08527333626080624,-1.8328970876505144,-0.12438356799516753
476,-0.10232516403911728,-1.8462539937406592,-0.14242729310785318
477,-0.10528411390254454,-1.8561613483142392,-0.15699773843572892
478,-0.09183365108043762,-1.8564508201522043,-0.1593033485170277
479,-0.07246977323931063,-1.8465698333626832,-0.15376847573595584
480,-0.051607443689584045,-1.8239547375923924,-0.14009377063640507
481,-0.034955466693151596,-1.794197728418674,-0.1291347892744665
482,-0.027953752918216567,-1.763107815239753,-0.13217668048916084
483,-0.03781167751495532,-1.7245410307180518,-0.13326881476980412
484,-0.06951281352024502,-1.6788094253091177,-0.12949957276665425
485,-0.11675898441047575,-1.6321054862022983,-0.11388947400436894
486,-0.17306677452484248,-1.5902533344169048,-0.08195837343932551
487,-0.2205044283734933,-1.568051187125836,-0.0502726995710304
488,-0.25056674787951033,-1.5713467428408918,-0.024903670849140084
489,-0.25998531665358365,-1.5993781552518735,-0.013600856610428674
490,-0.2481096359428477,-1.6484213927026392,-0.01894094104668247
491,-0.222064058586069,-1.707028174710512,-0.02422644375983729
492,-0.18513666486184338,-1.7666368314439262,-0.025874689686832663
493,-0.14152065818079265,-1.817074782603581,-0.021137851990821112
494,-0.09680465654225423,-1.8521521236810667,-0.011779771777977432
495,-0.05756108241057534,-1.8667396764026414,-0.01682455972732139
496,-0.031228552671046062,-1.8600781456795532,-0.03318143036926718
497,-0.02593766826700885,-1.833194779970106,-0.05501950965614708
498,-0.039659616918366364,-1.792821810156588,-0.07505686387586151
499,-0.0635402173481538,-1.760772218620858,-0.08184985889829913
500,-0.09282358210489372,-1.7363165539901781,-0.07280366061802024
501,-0.121585646210066,-1.7198141760954688,-0.0461402771590599
502,-0.1517794051761317,-1.7034480794318352,-0.0012789494849981147
503,-0.1956696097480272,-1.6731933403555952,0.06474400672514452
504,-0.24202661278420354,-1.6319047615535829,0.14760804547832196
